iter	Passed	Remaining
136	1939	5139
137	1952	5121
138	1965	5103
139	1980	5091
140	1994	5078
141	2007	5060
142	2020	5045
143	2034	5030
144	2048	5014
145	2060	4996
146	2074	4980
147	2086	4963
148	2100	4948
149	2116	4938
150	2129	4921
151	2144	4909
152	2159	4896
153	2173	4883
154	2182	4857
155	2196	4844
156	2210	4829
157	2223	4812
158	2236	4796
159	2250	4782
160	2264	4768
161	2276	4750
162	2289	4733
163	2303	4718
164	2317	4705
165	2330	4688
166	2342	4671
167	2356	4656
168	2369	4640
169	2382	4625
170	2396	4611
171	2410	4595
172	2425	4584
173	2438	4568
174	2452	4554
175	2465	4539
176	2478	4522
177	2493	4510
178	2505	4493
179	2514	4470
180	2528	4456
181	2542	4442
182	2555	4426
183	2567	4410
184	2581	4395
185	2591	4374
186	2599	4351
187	2613	4337
188	2627	4323
189	2641	4309
190	2654	4295
191	2660	4268
192	2674	4254
193	2687	4239
194	2701	4226
195	2714	4210
196	2728	4196
197	2740	4179
198	2748	4157
199	2761	4142
200	2770	4121
201	2783	4105
202	2797	4093
203	2812	4080
204	2826	4066
205	2840	4053
206	2852	4037
207	2865	4022
208	2878	4008
209	2892	3994
210	2906	3980
211	2919	3965
212	2932	3950
213	2945	3936
214	2958	3921
215	2973	3909
216	2988	3897
217	3002	3883
218	3015	3868
219	3028	3854
220	3042	3841
221	3056	3827
222	3070	3814
223	3083	3799
224	3097	3785
225	3112	3773
226	3126	3760
227	3139	3745
228	3152	3730
229	3160	3710
230	3172	3694
231	3186	3680
232	3200	3667
233	3214	3654
234	3229	3641
235	3243	3628
236	3257	3614
237	3269	3599
238	3283	3585
239	3297	3572
240	3312	3559
241	3326	3546
242	3340	3533
243	3354	3519
244	3368	3506
245	3380	3490
246	3395	3478
247	3410	3465
248	3424	3452
249	3438	3438
250	3449	3422
251	3462	3407
252	3477	3395
253	3491	3381
254	3505	3368
255	3514	3349
256	3523	3331
257	3537	3318
258	3551	3304
259	3564	3290
260	3577	3276
261	3591	3262
262	3606	3250
263	3621	3237
264	3636	3224
265	3648	3209
266	3661	3194
267	3675	3181
268	3689	3167
269	3703	3154
270	3717	3141
271	3732	3128
272	3746	3114
273	3759	3101
274	3773	3087
275	3788	3074
276	3803	3061
277	3817	3048
278	3831	3035
279	3845	3021
280	3859	3008
281	3875	2995
282	3889	2982
283	3903	2968
284	3917	2955
285	3931	2941
286	3945	2928
287	3958	2913
288	3972	2900
289	3985	2886
290	3999	2872
291	4010	2856
292	4024	2842
293	4037	2829
294	4050	2814
295	4061	2799
296	4074	2784
297	4088	2771
298	4102	2758
299	4116	2744
300	4130	2730
301	4142	2716
302	4158	2703
303	4170	2688
304	4184	2675
305	4198	2661
306	4211	2647
307	4224	2633
308	4237	2619
309	4250	2605
310	4263	2590
311	4276	2576
312	4291	2564
313	4305	2550
314	4319	2537
315	4332	2522
316	4348	2510
317	4361	2496
318	4374	2482
319	4387	2468
320	4402	2454
321	4416	2441
322	4430	2427
323	4443	2413
324	4457	2400
325	4470	2386
326	4484	2372
327	4498	2359
328	4512	2345
329	4525	2331
330	4539	2317
331	4554	2304
332	4567	2290
333	4581	2277
334	4595	2263
335	4610	2250
336	4625	2237
337	4639	2223
338	4654	2210
339	4668	2196
340	4682	2183
341	4697	2170
342	4709	2155
343	4723	2141
344	4737	2128
345	4751	2114
346	4765	2101
347	4778	2087
348	4792	2073
349	4806	2059
350	4819	2046
351	4831	2031
352	4844	2017
353	4858	2003
354	4872	1990
355	4885	1976
356	4899	1962
357	4913	1949
358	4926	1934
359	4939	1921
360	4953	1907
361	4964	1892
362	4978	1878
363	4991	1864
364	5006	1851
365	5020	1838
366	5034	1824
367	5046	1810
368	5060	1796
369	5074	1783
370	5087	1769
371	5100	1755
372	5115	1741
373	5130	1728
374	5142	1714
375	5156	1700
376	5169	1686
377	5181	1672
378	5196	1659
379	5211	1645
380	5225	1632
381	5240	1618
382	5253	1604
383	5267	1591
384	5280	1577
385	5294	1563
386	5307	1549
387	5321	1536
388	5335	1522
389	5350	1509
390	5363	1495
391	5378	1481
392	5392	1468
393	5406	1454
394	5420	1440
395	5433	1426
396	5447	1413
397	5460	1399
398	5473	1385
399	5485	1371
400	5498	1357
401	5510	1343
402	5523	1329
403	5534	1315
404	5548	1301
405	5562	1287
406	5577	1274
407	5590	1260
408	5603	1246
409	5617	1233
410	5628	1218
411	5642	1205
412	5655	1191
413	5669	1177
414	5681	1163
415	5695	1149
416	5726	1139
417	5740	1126
418	5754	1112
419	5767	1098
420	5779	1084
421	5791	1070
422	5806	1056
423	5819	1043
424	5833	1029
425	5847	1015
426	5861	1002
427	5875	988
428	5887	974
429	5900	960
430	5915	947
431	5928	933
432	5943	919
433	5954	905
434	5969	892
435	5983	878
436	5997	864
437	6010	850
438	6025	837
439	6039	823
440	6054	810
441	6068	796
442	6081	782
443	6094	768
444	6106	754
445	6119	740
446	6133	727
447	6147	713
448	6161	699
449	6175	686
450	6188	672
451	6203	658
452	6214	644
453	6227	631
454	6241	617
455	6253	603
456	6266	589
457	6281	576
458	6293	562
459	6307	548
460	6321	534
461	6334	521
462	6349	507
463	6362	493
464	6374	479
465	6388	466
466	6401	452
467	6415	438
468	6429	424
469	6442	411
470	6455	397
471	6470	383
472	6484	370
473	6497	356
474	6511	342
475	6525	328
476	6539	315
477	6553	301
478	6567	287
479	6581	274
480	6595	260
481	6610	246
482	6623	233
483	6637	219
484	6650	205
485	6664	191
486	6678	178
487	6691	164
488	6707	150
489	6722	137
490	6736	123
491	6750	109
492	6764	96
493	6778	82
494	6793	68
