iter	Logloss
0	0.6214424232
1	0.5616951467
2	0.5084857998
3	0.4607406057
4	0.424934663
5	0.3923535972
6	0.3634025989
7	0.3383375619
8	0.320716844
9	0.3040262115
10	0.2871059987
11	0.276315717
12	0.2645319583
13	0.2546789955
14	0.2451525697
15	0.2373829347
16	0.231799381
17	0.2267454784
18	0.2206220874
19	0.215625516
20	0.2114161974
21	0.2079839538
22	0.2054645402
23	0.2028697844
24	0.2007288948
25	0.1987183014
26	0.1966672514
27	0.1954937527
28	0.1939308456
29	0.192189049
30	0.1909048938
31	0.1900492335
32	0.1890520048
33	0.1880035347
34	0.1871745797
35	0.1862303802
36	0.1854558463
37	0.1848973811
38	0.1846248668
39	0.1839867129
40	0.1835195636
41	0.1830749747
42	0.1825850016
43	0.1821385459
44	0.1817624988
45	0.1813787845
46	0.1811679417
47	0.1809292079
48	0.1806342081
49	0.1803277061
50	0.1800198672
51	0.1798110618
52	0.1796358287
53	0.1795512037
54	0.17936963
55	0.1792133846
56	0.1790469165
57	0.1788740191
58	0.1787149547
59	0.1786160103
60	0.1785077696
61	0.1783863348
62	0.1782657856
63	0.1781206535
64	0.1780008853
65	0.1779340641
66	0.1778479027
67	0.1777516777
68	0.1776529506
69	0.177558942
70	0.177515235
71	0.1774386648
72	0.1773953809
73	0.1773111929
74	0.177226371
75	0.1771323969
76	0.177069816
77	0.1769964054
78	0.1769428206
79	0.1768709249
80	0.1768217106
81	0.1767826018
82	0.1767467595
83	0.17670848
84	0.1766659215
85	0.1766230356
86	0.1765543158
87	0.1764833153
88	0.1764422994
89	0.1764005568
90	0.1763592028
91	0.1763518406
92	0.1763013665
93	0.1762655087
94	0.1762245817
95	0.1761979688
96	0.1761483956
97	0.1760964532
98	0.1760727798
99	0.1760494686
100	0.1759932496
101	0.1759515579
102	0.1759228607
103	0.1758765733
104	0.1758398131
105	0.1757724851
106	0.1757156714
107	0.1756932624
108	0.1756482606
109	0.1755947299
110	0.1755561903
111	0.1755244996
112	0.1755004621
113	0.1754651942
114	0.1754254845
115	0.1753931797
116	0.1753411722
117	0.1753089314
118	0.1752758674
119	0.1752456149
120	0.1752115194
121	0.1751899638
122	0.1751679087
123	0.1751383128
124	0.1751236217
125	0.1750954481
126	0.1750661376
127	0.1750457443
128	0.17502214
129	0.1749918498
130	0.1749672922
131	0.1749426827
132	0.1749186283
133	0.1748922147
134	0.1748533934
135	0.1748297829
136	0.1747993876
137	0.1747840904
138	0.1747661795
139	0.1747304118
140	0.1747074669
141	0.1746690576
