iter	Logloss
142	0.1746216131
143	0.1745956356
144	0.1745765895
145	0.1745514718
146	0.1745404554
147	0.1745180381
148	0.1744990647
149	0.1744599054
150	0.1744350839
151	0.1743978459
152	0.1743781122
153	0.1743511679
154	0.1743508968
155	0.1743416109
156	0.1743238968
157	0.1742999601
158	0.1742877879
159	0.1742592173
160	0.1742346665
161	0.1742242793
162	0.1742101641
163	0.1741747147
164	0.1741514446
165	0.17411147
166	0.1740806841
167	0.1740670484
168	0.1740301301
169	0.1740135757
170	0.17398939
171	0.1739827839
172	0.1739697648
173	0.1739563579
174	0.1739367535
175	0.173922406
176	0.1739101183
177	0.1738844943
178	0.1738662208
179	0.1738660274
180	0.1738461486
181	0.1738168137
182	0.1738082068
183	0.1737874827
184	0.1737686429
185	0.1737598663
186	0.1737594983
187	0.1737292779
188	0.1737116958
189	0.173691766
190	0.1736713145
191	0.1736713128
192	0.1736493677
193	0.1736330993
194	0.1736043998
195	0.1735564249
196	0.1735279214
197	0.1734969088
198	0.1734967329
199	0.1734847455
200	0.1734845696
201	0.1734585611
202	0.1734423078
203	0.173426552
204	0.1734129252
205	0.1733827722
206	0.173366834
207	0.1733461891
208	0.1733307052
209	0.173297254
210	0.1732810268
211	0.1732623701
212	0.1732415719
213	0.1732293412
214	0.1732080357
215	0.1731929217
216	0.1731672268
217	0.1731527333
218	0.1731360194
219	0.1731159283
220	0.1730892945
221	0.1730731758
222	0.1730487558
223	0.1730288974
224	0.1730074407
225	0.1729810582
226	0.1729620026
227	0.1729490957
228	0.1729326819
229	0.1729325186
230	0.1729287444
231	0.1728961748
232	0.1728609289
233	0.1728423803
234	0.1728209978
235	0.1727878501
236	0.1727486945
237	0.1727473311
238	0.1727343459
239	0.1727057681
240	0.1726925484
241	0.1726669988
242	0.1726407581
243	0.1726165329
244	0.1725920772
245	0.1725787242
246	0.1725585229
247	0.172547725
248	0.1725242472
249	0.1725068186
250	0.1725042488
251	0.1724805155
252	0.1724572811
253	0.1724393976
254	0.1724114036
255	0.1724112711
256	0.1724111455
257	0.1724010428
258	0.1723885415
259	0.1723653778
260	0.1723368682
261	0.172310299
262	0.1722879927
263	0.1722748188
264	0.1722492318
265	0.1722449556
266	0.172225498
267	0.1722163433
268	0.1721893099
269	0.1721649281
270	0.1721565592
271	0.1721305231
272	0.1721166788
273	0.1720894514
274	0.1720662445
275	0.1720411103
276	0.1720177737
277	0.1719985533
278	0.1719959969
279	0.1719740612
280	0.171949757
281	0.1719279419
282	0.1719066262
283	0.1718804131
284	0.1718642286
285	0.1718400561
286	0.1718229208
287	0.1717999859
288	0.1717725121
289	0.1717597506
290	0.1717417914
291	0.1717188047
292	0.1716916933
293	0.1716823292
294	0.1716614577
295	0.171649906
296	0.171648306
297	0.171618911
298	0.1716015311
299	0.1715809527
300	0.1715599476
301	0.1715375597
302	0.1715237737
303	0.1714990831
304	0.1714772826
305	0.1714581143
306	0.1714430555
307	0.1714199955
308	0.171406233
309	0.1713887926
310	0.1713707017
311	0.1713433896
312	0.1713195443
313	0.1712893986
314	0.1712648694
315	0.1712487434
316	0.1712221532
317	0.1712058626
318	0.1711836302
319	0.1711621153
320	0.1711383481
321	0.1711172272
322	0.171094007
323	0.1710721181
324	0.1710583629
325	0.1710473814
326	0.1710322814
327	0.1710086536
328	0.1709894285
329	0.1709840279
330	0.1709654288
331	0.1709644263
332	0.1709437774
333	0.1709251262
334	0.1709056067
335	0.1708893676
336	0.170869478
337	0.1708532419
338	0.1708337144
339	0.1708153614
340	0.1707930817
341	0.1707731488
342	0.1707526809
343	0.1707401366
344	0.1707229434
345	0.1707183881
346	0.1706974967
347	0.1706775161
348	0.170648963
349	0.170630698
350	0.1706107992
351	0.1705874735
352	0.1705721343
353	0.170554483
354	0.1705365693
355	0.1705147724
356	0.1705011305
357	0.1704856992
358	0.1704617511
359	0.1704413213
360	0.1704251585
361	0.1704187622
362	0.1703973342
363	0.1703796017
364	0.1703603668
365	0.1703428863
366	0.1703286024
367	0.1703018516
368	0.1702744172
369	0.1702507888
370	0.1702323131
371	0.1702096287
372	0.1701833871
373	0.1701663871
374	0.1701470186
375	0.1701264648
376	0.1700917677
377	0.1700609481
378	0.170033983
379	0.1700221261
380	0.170008021
381	0.1699921786
382	0.1699784041
383	0.1699526693
384	0.1699383047
385	0.169914365
386	0.1698947382
387	0.1698842389
388	0.1698680259
389	0.1698441685
390	0.1698249333
391	0.1698082181
392	0.1697915953
393	0.1697711802
394	0.1697456762
395	0.1697328503
396	0.1697212972
397	0.1696993324
398	0.1696971917
399	0.169673713
400	0.1696458833
401	0.1696300848
402	0.1696070866
403	0.1695912368
404	0.1695729976
405	0.1695470282
406	0.1695435189
407	0.1695304379
408	0.1695051435
409	0.1694905046
410	0.1694758385
411	0.1694553681
412	0.1694436782
413	0.1694322561
414	0.1694207289
415	0.1694135588
416	0.1693973537
417	0.1693821565
418	0.1693768823
419	0.1693678874
420	0.1693456265
421	0.1693432038
422	0.169330056
423	0.1693191724
424	0.1693017901
425	0.1692880169
426	0.1692703201
427	0.1692672811
428	0.1692491049
429	0.1692321532
430	0.1692287203
431	0.1692161513
432	0.169208416
433	0.1692055328
434	0.1691954047
435	0.1691829063
436	0.169163301
437	0.1691491618
438	0.1691339279
439	0.1691145117
440	0.1691003937
441	0.1690868778
442	0.1690817245
443	0.1690708451
444	0.1690596136
445	0.1690567335
446	0.1690377784
447	0.1690271728
448	0.1690173152
449	0.1689973294
450	0.1689880131
451	0.1689639133
452	0.1689502252
453	0.1689331887
454	0.1689169336
455	0.1689011728
456	0.168893793
457	0.1688828353
458	0.1688804618
459	0.1688627054
460	0.1688510917
461	0.1688506565
462	0.1688369254
463	0.1688167282
464	0.1688156512
465	0.1687978044
466	0.1687794049
467	0.1687706637
468	0.1687681049
469	0.1687633021
470	0.1687431539
471	0.1687245404
472	0.1687088965
473	0.1686876916
474	0.1686679308
475	0.1686463538
476	0.1686213192
477	0.1686018569
478	0.1685856854
479	0.1685672238
480	0.1685525414
481	0.1685345052
482	0.1685222571
483	0.1685045303
484	0.1684760009
485	0.168462136
486	0.1684484317
487	0.1684246492
488	0.1684221406
489	0.1684060201
490	0.1683921058
491	0.1683839284
492	0.1683732404
493	0.1683509023
494	0.1683377912
